Question,Started_time,Closed_time,Challenges_list,Tags_list,Description,Possible_Answers_dict
Which country or countries will FIFA announce as the host(s) of the 2027 Women’s World Cup?,"Feb 16, 2024 06:00PM UTC","May 17, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","FIFA is considering three bids from prospective hosts of the 2027 Women's World Cup after South Africa withdrew itself from consideration in November 2023 (Bleacher Report, Just Women's Sports). The FIFA Congress is scheduled to vote on who will host the 2027 World Cup on 17 May 2024 (FIFA). If either a country that was party to a joint bid drops out or a country or countries join an existing bid, their inclusion or absence in the answer option will be immaterial. If FIFA delays the selection of the host, the close date will be adjusted accordingly. If the 2027 Women’s World Cup is canceled for whatever reason before a host is selected, the question will close ""Another outcome.""","{'Belgium/Germany/Netherlands': {'Correct?': False, 'Final Crowd Forecast': '50%'}, 'Brazil': {'Correct?': True, 'Final Crowd Forecast': '41%'}, 'Mexico/United States': {'Correct?': False, 'Final Crowd Forecast': '8%'}, 'Another outcome': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
"In Consumer Financial Protection Bureau (CFPB) v. Community Financial Services Association of America, Limited, will the Supreme Court rule that the funding mechanism for the CFPB is unconstitutional?","Sep 08, 2023 05:00PM UTC","May 16, 2024 02:10PM UTC",['In the News 2024'],"['Business', 'US Politics', 'US Policy']","The CFPB has a unique funding mechanism among US regulatory agencies in that it requires no congressional appropriation of funds and its director determines the bureau's budget (Congressional Research Service). The Fifth Circuit ruled that the mechanism violated the Appropriations Clause of the constitution and separation of powers, which the CFPB appealed to the Supreme Court (Fifth Circuit Court of Appeals, SCOTUSblog, Holland & Knight). The Supreme Court is expected to hand down its decision in its 2023 term, but if it does not, the question will close as ""No."" If the Court decides this case without addressing this question's particular issue of law, the question will close as ""No.""","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '40%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '60%'}}"
Who will win the Democratic primary for the US Senate election for Maryland in 2024?,"Mar 15, 2024 05:00PM UTC","May 14, 2024 07:01AM UTC","['2024 US Election Challenge', 'In the News 2024']","['Leader Entry/Exit', 'US Politics', 'Elections and Referenda']","The Democratic primary race to replace retiring US Sen. Ben Cardin includes Prince George’s County Executive Angela Alsobrooks and Rep. David Trone, with the winner likely to face Republican former Governor Larry Hogan in the general election (The Hill, Maryland.gov - Primary Candidates). The Democratic primary is scheduled for 14 May 2024 (Ballotpedia).","{'Angela Alsobrooks': {'Correct?': True, 'Final Crowd Forecast': '21%'}, 'David Trone': {'Correct?': False, 'Final Crowd Forecast': '78%'}, 'Someone else': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
Which country will win Eurovision 2024?,"Mar 15, 2024 05:00PM UTC","May 11, 2024 07:01AM UTC","['Foxes Ask', 'In the News 2024']","['Society', 'Entertainment']",The Eurovision Song Contest is a popular competition between countries in Europe (and some beyond) that began in 1956 (Eurovision - Origins). The Grand Final is scheduled to take place on Saturday 11 May 2024 (Eurovision).,"{'Belgium': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Croatia': {'Correct?': False, 'Final Crowd Forecast': '23%'}, 'Israel': {'Correct?': False, 'Final Crowd Forecast': '5%'}, 'Italy': {'Correct?': False, 'Final Crowd Forecast': '9%'}, 'Netherlands': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Sweden': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'Switzerland': {'Correct?': True, 'Final Crowd Forecast': '19%'}, 'Ukraine': {'Correct?': False, 'Final Crowd Forecast': '8%'}, 'Another country': {'Correct?': False, 'Final Crowd Forecast': '19%'}}"
Will Ohio legislation changing the deadline for the Democratic Party to certify its candidates for president and vice president for the 2024 presidential election ballot become law before 10 May 2024?,"Apr 12, 2024 05:00PM UTC","May 10, 2024 07:01AM UTC","['2024 US Election Challenge', 'In the News 2024']","['Leader Entry/Exit', 'US Politics', 'Elections and Referenda', 'US Policy']","The Ohio Secretary of State's counsel sent a letter to the state Democratic Party regarding a potential conflict with state law regarding the Democratic Party nominees for US president (ABC6, AP). The attorney noted that the Democratic National Convention, where the party will officially nominate its candidates for president and vice president, is scheduled to take place after the deadline applicable to the Democratic Party for certifying the party's candidates for the ballot (ABC News, Ohio Revised Code §3505.10, see (B)(1)). For the purposes of this question, legislation will be considered to have become law upon being filed by the governor in the office of the secretary of state, in accordance with Article II, Section 1c of the Ohio constitution (Ohio Constitution).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '29%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '71%'}}"
"Before 10 May 2024, will Travis Kelce and Taylor Swift announce or acknowledge that they are engaged to be married?","Nov 10, 2023 06:00PM UTC","May 10, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Society', 'Sports', 'Entertainment']","Kansas City Chiefs tight end Travis Kelce and pop music superstar Taylor Swift began dating in the fall of 2023, which has generated a great deal of speculation about the future of their relationship (NPR, Insider). An engagement must be acknowledged by both parties and/or their official spokespersons to count.","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '98%'}}"
Who will win the 2024 NBA Most Valuable Player Award?,"Nov 10, 2023 06:00PM UTC","May 08, 2024 11:31PM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports', 'Entertainment']",The winner of the Most Valuable Player award for the 2023-24 season is expected to be announced in late spring 2024 (CBS Sports).,"{'Stephen Curry': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Luka Dončić': {'Correct?': False, 'Final Crowd Forecast': '7%'}, 'Joel Embiid': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Giannis Antetokounmpo': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Nikola Jokić': {'Correct?': True, 'Final Crowd Forecast': '84%'}, 'Jayson Tatum': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Someone else': {'Correct?': False, 'Final Crowd Forecast': '5%'}}"
"Before 20 July 2024, will a Georgia appellate court agree to hear an appeal from Donald Trump and/or any of his codefendants related to the trial court's decision to not disqualify District Attorney Fani Willis and/or not dismiss the criminal indictments against them?","Mar 20, 2024 08:30PM UTC","May 08, 2024 02:00PM UTC","['2024 US Election Challenge', 'In the News 2024']","['Leader Entry/Exit', 'US Politics', 'Elections and Referenda', 'US Policy']","On 20 March 2024, Georgia Judge Scott McAfee ruled that defendants could appeal his decision to not disqualify Willis and leave the criminal indictments in place after he decided that Willis could proceed with the prosecution so long as now-former special prosecutor Nathan Wade withdrew from the case (AP, The Hill, ABC News). Either the Georgia Court of Appeals or the Georgia Supreme Court agreeing to hear an appeal would count, and the question would close early upon all available state appeals being denied and exhausted. The disposition of any appeal heard by a Georgia appellate court is immaterial.","{'Yes': {'Correct?': True, 'Final Crowd Forecast': '56%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '44%'}}"
When will the US publicly announce that it will resume additional funding for the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)?,"Jan 29, 2024 05:00PM UTC","May 07, 2024 07:01AM UTC","['In the News 2024', 'Middle East in Focus']","['Society', 'Health', 'Foreign Policy', 'Security and Conflict']","The US and other major UNRWA donors paused funding for the organization after Israel reported evidence that some UNRWA staff were involved in the 7 October attacks against Israel (US State Department, BBC, US News & World Report, CNN, UNRWA - Donor Charts). The exact date of a resumption is immaterial, and a conditional announcement (e.g., if or when UNRWA performs some action in the future) would not count. An announcement of a partial resumption will count.","{'Before 13 February 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 13 February 2024 and 4 March 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 5 March 2024 and 1 April 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 2 April 2024 and 6 May 2024': {'Correct?': False, 'Final Crowd Forecast': '5%'}, 'Not before 7 May 2024': {'Correct?': True, 'Final Crowd Forecast': '95%'}}"
Who will win the 2024 Panamanian presidential election?,"Jul 28, 2023 05:00PM UTC","May 05, 2024 07:01AM UTC","['In the News 2024', 'Superforecasting® Workshops Challenge']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']","Among the candidates is former President Ricardo Martinelli, who was leading in the polls as of May 2023 before being sentenced in July 2023 to more than 10 years in prison for corruption charges (Voice of America, Rio Times, Brazilian Report, CNN [in Spanish], Twitter [in Spanish]). The next Panamanian presidential election is scheduled for 5 May 2024 (International Institute for Democracy and Electoral Assistance).","{'José Isabel Blandón': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'José Gabriel Carrizo': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Ricardo Martinelli': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Rómulo Roux': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Martín Torrijos': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Someone else': {'Correct?': True, 'Final Crowd Forecast': '96%'}}"
How far will the Nashville Predators advance in the 2024 Stanley Cup Playoffs?,"Apr 24, 2024 02:00PM UTC","May 04, 2024 01:45AM UTC","[""2023-24 'Sportsball' Challenge"", 'In the News 2024', 'Superforecasting® Workshops Challenge']","['Business', 'Sports']","As of 24 April 2024, the Predators were tied 1-1 in the First Round of the 2024 Stanley Cup Playoffs against the Vancouver Canucks (NHL - Playoff Bracket). The Stanley Cup Final is scheduled to begin in June 2024 (NHLPlayoff.com - Schedule).","{'The First Round': {'Correct?': True, 'Final Crowd Forecast': '83%'}, 'The Second Round': {'Correct?': False, 'Final Crowd Forecast': '14%'}, 'Western Conference Finals': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Stanley Cup Final': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'The Predators will win the 2024 Stanley Cup Final': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
When will ExxonMobil's merger with Pioneer Natural Resources close?,"Oct 13, 2023 05:00PM UTC","May 03, 2024 01:30PM UTC",['In the News 2024'],"['Business', 'US Policy']","On 11 October 2023, energy firms ExxonMobil and Pioneer Natural Resources announced they would merge in an all-stock deal, which the two expect ""to close in the first half of 2024"" (ExxonMobil, CNBC). ExxonMobil CEO Darren Wood has said they ""don't anticipate any regulatory issues,"" though the Biden administration has put many mergers and acquisitions under scrutiny (CNBC, CNN). The question would close early if both ExxonMobil and Pioneer announce that they have called off the merger.","{'Before 1 July 2024': {'Correct?': True, 'Final Crowd Forecast': '64%'}, 'Between 1 July 2024 and 31 December 2024': {'Correct?': False, 'Final Crowd Forecast': '26%'}, 'Not before 1 January 2025': {'Correct?': False, 'Final Crowd Forecast': '11%'}}"
Will the Caribbean Community (CARICOM) or a CARICOM member state other than Guyana accuse Venezuela of sending military ground forces into Guyana without its permission before 3 May 2024?,"Nov 03, 2023 05:00PM UTC","May 03, 2024 07:01AM UTC","['In the News 2024', 'Foxes Ask']","['Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","Guyana, Venezuela's eastern neighbor and the fastest growing economy in the Western Hemisphere, has voiced concerns about Venezuelan actions near its border (CARICOM, Loop News, WiredJA). For over a century, Venezuela has claimed over two-thirds of Guyanese territory as its own, and the Maduro government has scheduled a controversial referendum for 3 December 2023 to vote on Venezuela's rights to that territory (Venezuela Analysis, US News & World Report, France 24). Accusations of Venezuela sending military forces to Ankoko Island alone would not count (Demerara Waves). Accusations from Associate Members would not count (CARICOM). For the purposes of this question, ""Guyana"" means the internationally recognized territory of the country, and both the accusation and the sending must occur during the question's open period to count.","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '98%'}}"
What will be the US civilian unemployment rate (U3) for April 2024?,"Aug 11, 2023 05:00PM UTC","May 01, 2024 07:01AM UTC",['In the News 2024'],"['Business', 'Society', 'Economic Indicators']","While the US unemployment rate remained near record lows as of July 2023, the pace of new job creation and the eventual impacts of interest rate hikes are expected to put pressure on employment (US News & World Report, CNBC). The question will be suspended on 30 April 2024 and the outcome determined using the official civilian unemployment rate (U3) as reported monthly by the US Department of Labor's Bureau of Labor Statistics (BLS) when first released, expected in May 2024 (BLS).","{'Lower than 3.5%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '3.5% or higher, but lower than 4.0%': {'Correct?': True, 'Final Crowd Forecast': '94%'}, '4.0% or higher, but lower than 4.5%': {'Correct?': False, 'Final Crowd Forecast': '6%'}, '4.5% or higher, but lower than 5.0%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '5.0% or higher, but lower than 5.5%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '5.5% or higher, but lower than 6.0%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '6.0% or higher': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
What will be the water level of Panama Canal reservoir Gatun Lake on 1 May 2024?,"Sep 15, 2023 05:00PM UTC","May 01, 2024 07:01AM UTC","['In the News 2024', 'Superforecasting® Workshops Challenge']","['Business', 'Environment']","Low water levels of Gatun Lake have led to limits on the use of the Panama Canal, which supports roughly a quarter of a trillion dollars of trade annually (CNBC, AP). The outcome will be determined using data as reported by the Panama Canal Authority (Panama Canal Authority - Gatun Water Level Indicators, download ""Gatun Lake Historical Water Levels (CSV)""). Other data are also available on the Gatun Lake Water Levels dashboard (Panama Canal Authority - Gatun Lake Water Levels Dashboard).","{'Lower than 72.00 ft': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 72.00 ft and 74.00 ft, inclusive': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Higher than 74.00 ft but lower than 76.00 ft': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 76.00 ft and 78.00 ft, inclusive': {'Correct?': False, 'Final Crowd Forecast': '6%'}, 'Higher than 78.00 ft but lower than 80.00 ft': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Between 80.00 ft and 82.00 ft, inclusive': {'Correct?': True, 'Final Crowd Forecast': '91%'}, 'Higher than 82.00 ft': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
How many international visitor arrivals to the US will there be in 2023?,"Sep 23, 2022 05:00PM UTC","Jan 01, 2024 08:01AM UTC","['In the News 2023', 'Superforecasting® Workshops Challenge']","['Business', 'Society', 'Entertainment', 'Economic Indicators', 'US Policy']","International travel to the US is still recovering from the worst of the COVID-19 pandemic (CBS News, PR News Wire). The question will be suspended on 31 December 2023 and the outcome determined using data for 2023 as first reported by the US International Trade Administration's ADIS/I-94 Visitor Arrivals Monitor (COR) for all of 2023 (Trade.gov). Near the bottom of this page, click the arrow to the right of ""1 of 5"" for monthly data. In 2021, total US arrivals were 22,100,453, down from nearly 80 million in 2019 (Trade.gov - 2021 Fact Sheet, see Table 1).","{'Fewer than 50 million': {'Correct?': False, 'Final Crowd Forecast': '5%'}, 'Between 50 million and 60 million, inclusive': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'More than 60 million but fewer than 70 million': {'Correct?': True, 'Final Crowd Forecast': '69%'}, 'Between 70 million and 80 million, inclusive': {'Correct?': False, 'Final Crowd Forecast': '9%'}, 'More than 80 million': {'Correct?': False, 'Final Crowd Forecast': '6%'}}"
What will be total value of US/China trade in goods (exports plus imports) in the first quarter of (Q1) 2024 as compared to the Q1 2023?,"Feb 17, 2023 06:00PM UTC","Apr 01, 2024 07:01AM UTC","['In the News 2024', 'Superforecasting® Workshops Challenge']","['Business', 'Economic Indicators', 'US Politics', 'Non-US Politics', 'US Policy']","Despite growing tensions, trade between the US and China hit a new record in 2022 (BBC, CNBC). The question will be suspended on 31 March 2024 and the outcome determined using data for Q1 2023 and Q1 2024 as of the first release of March 2024 data in the ""U.S. International Trade in Goods and Services"" report, expected in March 2024 (Census Bureau - FT900: U.S. International Trade in Goods and Services, Historical Releases, Census Bureau - Schedule of Foreign Trade Releases). As of the launch of this question, the Census Bureau reported a total of $13,789.6 (millions of dollars) in goods exported from the US to China, and a total of $37,302.2 (millions of dollars, ""Customs basis"") in goods imported from China to the US, for a total of $51,092 (millions of dollars) (Census Bureau - December 2022 International Trade Release, see Exhibit 4 on page 56 of 65 in the PDF). Monthly historical data may be downloaded by clicking here: https://goodjudgment.io/docs/US_PRC_Monthly_Trade_2015_-_2022_17_February_2023.xlsx (note that the data in this file will not be revised).","{'Down by 15.0% or more': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Down by more than 5.0% but less than 15.0%': {'Correct?': False, 'Final Crowd Forecast': '35%'}, 'Between down by 5.0% and up 5.0%, inclusive': {'Correct?': True, 'Final Crowd Forecast': '49%'}, 'Up by more than 5.0% but less than 15.0%': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Up by 15.0% or more': {'Correct?': False, 'Final Crowd Forecast': '4%'}}"
"At close of business on 1 May 2024, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 20 March 2024?","Dec 15, 2023 06:00PM UTC","May 01, 2024 07:01AM UTC","['City University of Hong Kong Challenge', 'In the News 2024']","['Business', 'Finance', 'Economic Policy', 'US Policy']",The US federal funds rate is the interest rate charged for overnight lending among financial institutions with accounts at the Federal Reserve and sets the base rate for borrowing costs across the financial system (Federal Reserve). The target range for the federal funds rate is set by the Federal Open Market Committee (FOMC). Its April/May meeting is scheduled for 30 April - 1 May 2024.,"{'Lower': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Same': {'Correct?': True, 'Final Crowd Forecast': '99%'}, 'Higher': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
